48;1934;71838
50;1813;103889
52;1773;126042
54;1885;153347
56;2490;200795
58;1229;220708
60;1574;259104
48;1908;567888
50;2945;613562
52;1748;635650
54;1835;666908
56;2439;725724
58;1532;726001
60;1599;791831
48;2690;115845
50;1787;147905
52;1672;171840
54;1731;211835
56;1723;227839
58;2062;267828
60;2905;341697
48;1681;663860
50;1709;691860
52;1623;723823
54;1629;751828
56;2260;787827
58;1229;807822
60;2805;891829
48;1606;247527
50;1581;247699
52;1572;267834
54;1552;283851
56;2158;323828
58;1229;348822
60;2855;381523
48;1505;716520
50;1504;739850
52;1522;752109
54;2399;788696
56;2081;851062
58;1229;851402
60;2805;918289
48;1404;252547
50;1401;268100
52;1773;296828
54;1346;324836
56;2005;386553
58;1658;386725
60;2805;412396
48;1328;752829
50;1323;788539
52;1722;788697
54;1270;812828
56;1928;855540
58;6441;912852
60;2729;968842
48;1202;284864
50;1221;323585
52;1397;332874
54;1167;353322
56;1851;400901
58;1177;404289
60;2755;448853
48;1127;792565
50;1118;806138
52;1648;832837
54;1064;848856
56;1801;880839
58;1203;904838
60;2729;940843
48;1026;272821
50;1041;292852
52;1597;328565
54;987;348839
56;932;372839
58;1128;395564
60;2729;436852
48;950;760846
50;963;797569
52;1547;808852
54;911;832849
56;1672;864567
58;1608;889318
60;2729;931561
48;849;266569
50;887;276854
52;1522;308847
54;807;324855
56;2056;348852
58;1255;380838
60;2755;420852
48;774;747853
50;783;802629
52;1472;802900
54;731;819851
56;702;839839
58;1305;868561
60;2805;935592
48;1858;270559
50;732;271991
52;1496;295856
54;731;319850
56;1851;337551
58;1305;366859
60;2805;415908
48;774;742242
50;629;755962
52;618;797330
54;653;819956
56;702;820191
58;1330;855845
60;2854;916841
48;4153;258144
50;578;271333
52;1748;299860
54;603;323414
56;600;339874
58;1457;365452
60;2905;400874
48;798;722748
50;603;743565
52;569;768837
54;4838;810563
56;523;825288
58;622;845817
60;2805;903972
48;2766;230454
50;603;259890
52;518;280990
54;4605;311913
56;497;335861
58;1835;359862
60;2352;439315
48;4430;775784
50;2816;816931
52;493;848667
54;4451;883902
56;650;916111
58;573;925235
60;1625;976848
48;2915;303893
50;2764;335948
52;569;359868
54;4451;400827
56;650;426902
58;547;453980
60;2605;516602
48;2261;856670
50;2662;887549
52;569;907855
54;4887;951840
56;650;967854
58;522;999842
60;1926;63859
48;2236;395846
50;2610;422553
52;2726;467841
54;2655;489557
56;650;523879
58;522;531854
60;2503;624709
48;2211;960940
50;2662;973217
52;2651;3657
54;3091;35855
56;2516;79889
58;522;92559
60;2102;151841
48;1757;479850
50;2662;515853
52;2626;539907
54;2476;575856
56;2465;615886
58;547;623853
60;2052;695557
48;2135;30555
50;3279;63842
52;2526;88956
54;2116;123845
56;2388;151858
58;573;183840
60;2052;230556
48;1706;566612
50;3279;595864
52;2300;644869
54;3143;665195
56;2337;688845
58;598;716847
60;2052;774080
48;2085;112855
50;3278;144849
52;2224;172957
54;1962;200854
56;4254;255892
58;622;267852
60;2051;323899
48;2034;651856
50;3278;704559
52;2199;715922
54;2372;747861
56;2158;787875
58;648;807858
60;2051;875842
48;1959;197525
50;3279;240564
52;2124;263855
54;2296;287862
56;2081;327879
58;673;343841
60;2052;407856
48;2010;739838
50;3278;775555
52;2023;799940
54;2809;835844
56;2005;861200
58;724;879910
60;2077;947855
48;1504;311558
50;3278;311887
52;1923;343925
54;1885;367860
56;1902;407883
58;749;415854
60;2077;512565
48;1606;829845
50;3279;859887
52;1798;891872
54;1783;915928
56;1851;941856
58;799;969961
60;1500;36262
48;1732;375853
50;3278;396836
52;1748;420836
54;1757;448852
56;1775;480685
58;1683;516841
60;1449;568850
48;1631;904845
50;3228;936835
52;1648;962093
54;2502;993979
56;1698;24108
58;1708;56837
60;1399;128841
48;1303;440049
50;3150;478845
52;1623;521569
54;1526;535989
56;1622;564844
58;1785;588568
60;1399;660849
48;1227;991719
50;3022;31860
52;1547;51843
54;1450;77825
56;1571;111840
58;1860;124561
60;1348;159840
48;1151;475853
50;2945;526561
52;1447;547864
54;2528;571853
56;3129;615845
58;3225;657828
60;1298;695880
48;1076;37222
50;2842;62701
52;1396;87857
54;1552;120560
56;3027;148163
58;1810;183970
60;1298;256175
48;1000;561790
50;2738;602384
52;1371;627865
54;1476;643989
56;3103;687208
58;1759;711753
60;1273;783877
48;925;102482
50;2662;131902
52;1321;158198
54;1398;195647
56;2822;237481
58;1734;248711
60;1273;275282
48;900;602573
50;2558;632517
52;1096;669559
54;1320;684644
56;2745;715841
58;1683;743860
60;1625;775841
48;849;99839
50;2455;138567
52;1045;153127
54;4607;197879
56;2695;231845
58;1683;259917
60;1223;315844
48;950;636232
50;2430;673555
52;995;709807
54;4476;740561
56;2439;775852
58;1659;807557
60;1625;859858
48;900;209554
50;2327;209866
52;945;231855
54;4452;277939
56;2362;323887
58;1634;343563
60;1147;399093
48;874;723850
50;2198;745554
52;2550;788840
54;4348;827845
56;2465;855858
58;1204;887840
60;796;939855
48;874;263855
50;2122;299859
52;2425;331846
54;2116;350408
56;2363;391882
58;1178;407861
60;771;439848
48;950;779892
50;2043;791858
52;2425;814300
54;4195;855228
56;2312;884893
58;1583;912377
60;771;972851
48;925;296848
50;1993;340839
52;995;352569
54;1962;378040
56;2260;420668
58;1583;447915
60;770;475856
48;925;799851
50;1993;821555
52;794;847853
54;1911;888604
56;2261;907853
58;1583;939843
60;770;959898
48;1883;311974
50;2223;321980
52;770;355725
54;2373;379843
56;2158;416872
58;1583;438763
60;795;461130
48;2337;805066
50;1915;827113
52;745;837938
54;2348;871570
56;2133;905827
58;1583;923844
60;820;967343
48;1833;276848
50;1916;306761
52;719;326869
54;1757;355255
56;2184;385189
58;1557;424967
60;921;446733
48;1757;775087
50;1837;804952
52;694;833428
54;1705;860218
56;2184;878315
58;1532;906326
60;921;950612
48;1681;277402
50;1761;291864
52;2150;319860
54;1629;354290
56;1928;382763
58;1507;404684
60;896;449745
48;1731;763857
50;1709;787850
52;2048;840840
54;1551;842445
56;1851;867890
58;1457;902563
60;921;927844
48;1657;269705
50;1915;303554
52;1999;324672
54;1475;339853
56;1775;363988
58;2164;395840
60;921;437807
48;1580;773667
50;1503;773978
52;1873;807860
54;1398;834711
56;1698;852362
58;622;882892
60;971;924668
48;1378;241554
50;1401;271839
52;1773;295841
54;1320;331880
56;1622;347852
58;622;375564
60;1674;413065
48;1278;739838
50;1323;777556
52;1672;789143
54;1244;815852
56;1570;844556
58;648;863854
60;1047;899856
48;1176;246553
50;1221;267887
52;1672;279882
54;1167;312558
56;1417;339891
58;648;355852
60;1701;415858
48;1102;735881
50;1118;781564
52;1496;781812
54;1090;807840
56;1315;831870
58;698;848560
60;1701;895915
48;1026;227881
50;1041;250559
52;1346;267852
54;1013;291851
56;1264;315859
58;724;335841
60;1725;387859
48;975;719556
50;989;733184
52;1371;759852
54;961;786563
56;1187;801131
58;774;839839
60;1700;879853
48;925;207919
50;912;226991
52;1297;255623
54;910;283897
56;1137;307897
58;1178;322616
60;1750;390929
48;900;696711
50;887;726461
52;1121;744456
54;859;781285
56;1136;792589
58;1178;816063
60;1750;876298
48;874;200909
50;835;223394
52;1096;244665
54;807;271911
56;829;281765
58;1153;326560
60;1725;357017
48;823;687863
50;783;714239
52;1071;728571
54;782;748846
56;1034;776847
58;1153;795574
60;3106;863717
48;748;183853
50;732;215883
52;1121;239886
54;781;249390
56;1008;279906
58;876;303862
60;1223;347844
48;748;671844
50;707;687856
52;1096;733554
54;1450;733790
56;1008;767842
58;850;777367
60;1072;839917
48;723;201553
50;706;201872
52;1071;202191
